"Function","Effective Time","Spin Time","Overhead Time","CPU Time: Self","Module","Function (Full)","Source File","Start Address"
"func@0x180030144","0.00527426","0","0","0","amplxe_tpssmrte_javaprof_1.0.dll","func@0x180030144","[Unknown]","0x180030144"
"func@0x180030214","0.00527426","0","0","0","amplxe_tpssmrte_javaprof_1.0.dll","func@0x180030214","[Unknown]","0x180030214"
"func@0x1800627c8","0.00527426","0","0","0","amplxe_tpssmrte_javaprof_1.0.dll","func@0x1800627c8","[Unknown]","0x1800627c8"
"java::lang::String::split","0.15187","0","0","0","[Compiled Java code]","java::lang::String::split(java::lang::String)","String.java","0x1303d6867a0"
"func@0x18006233c","0.00527426","0","0","0","amplxe_tpssmrte_javaprof_1.0.dll","func@0x18006233c","[Unknown]","0x18006233c"
"func@0x18002fd54","0.00527426","0","0","0","amplxe_tpssmrte_javaprof_1.0.dll","func@0x18002fd54","[Unknown]","0x18002fd54"
"func@0x1800301bf","0.00527426","0","0","0","amplxe_tpssmrte_javaprof_1.0.dll","func@0x1800301bf","[Unknown]","0x1800301bf"
"func@0x180218210","0.142663","0","0","0","jvm.dll","func@0x180218210","[Unknown]","0x180218210"
"func@0x18061e0e0","0.142663","0","0","0","jvm.dll","func@0x18061e0e0","[Unknown]","0x18061e0e0"
"func@0x1801b1da0","0.00429778","0","0","0","jvm.dll","func@0x1801b1da0","[Unknown]","0x1801b1da0"
"func@0x18001b760","0","0.136739","0","0","amplxe_tpssmrte_javaprof_1.0.dll","func@0x18001b760","[Unknown]","0x18001b760"
"func@0x18020ed70","0.00339238","0","0","0","jvm.dll","func@0x18020ed70","[Unknown]","0x18020ed70"
"func@0x180138970","0.00328989","0","0","0","jvm.dll","func@0x180138970","[Unknown]","0x180138970"
"func@0x1801377d0","0.00328989","0","0","0","jvm.dll","func@0x1801377d0","[Unknown]","0x1801377d0"
"func@0x180186b80","0.00328989","0","0","0","jvm.dll","func@0x180186b80","[Unknown]","0x180186b80"
"func@0x180015c90","0","0.136739","0","0","amplxe_tpssmrte_javaprof_1.0.dll","func@0x180015c90","[Unknown]","0x180015c90"
"func@0x180138830","0.00328989","0","0","0","jvm.dll","func@0x180138830","[Unknown]","0x180138830"
"func@0x180004600","0","0.136739","0","0","amplxe_tpssmrte_javaprof_1.0.dll","func@0x180004600","[Unknown]","0x180004600"
"func@0x1804ab0e0","0.00316379","0","0","0","jvm.dll","func@0x1804ab0e0","[Unknown]","0x1804ab0e0"
"func@0x1800b7d60","0.00316379","0","0","0","jvm.dll","func@0x1800b7d60","[Unknown]","0x1800b7d60"
"func@0x18065bf40","0","0.00872277","0","0","jvm.dll","func@0x18065bf40","[Unknown]","0x18065bf40"
"malloc_base","0.00316379","0","0","0","ucrtbase.dll","malloc_base","[Unknown]","0x180011ad0"
"func@0x18003c690","0.00316379","0","0","0","ntdll.dll","func@0x18003c690","[Unknown]","0x18003c690"
"func@0x1801b1340","0.103802","0.0127816","0","0","jvm.dll","func@0x1801b1340","[Unknown]","0x1801b1340"
"func@0x1801455e0","0.00288226","0","0","0","jvm.dll","func@0x1801455e0","[Unknown]","0x1801455e0"
"func@0x1801456b0","0.00288226","0","0","0","jvm.dll","func@0x1801456b0","[Unknown]","0x1801456b0"
"func@0x18020bcb0","0.109613","4.13723e-05","0","0","jvm.dll","func@0x18020bcb0","[Unknown]","0x18020bcb0"
"func@0x18062c8b0","0.00254329","0","0","0","jvm.dll","func@0x18062c8b0","[Unknown]","0x18062c8b0"
"java::lang::Float::parseFloat","0.0746479","0","0","0","[Compiled Java code]","java::lang::Float::parseFloat(java::lang::String)","Float.java","0x1303d62dec0"
"func@0x180001ba0","0","0.00244574","0","0","amplxe_tpssmrte_javaprof_1.0.dll","func@0x180001ba0","[Unknown]","0x180001ba0"
"func@0x18065f6f0","0.00236482","0","0","0","jvm.dll","func@0x18065f6f0","[Unknown]","0x18065f6f0"
"func@0x18065fb30","0.00236482","0","0","0","jvm.dll","func@0x18065fb30","[Unknown]","0x18065fb30"
"func@0x1806621f4","0.00236482","0","0","0","jvm.dll","func@0x1806621f4","[Unknown]","0x1806621f4"
"func@0x180332000","0.00236482","0","0","0","jvm.dll","func@0x180332000","[Unknown]","0x180332000"
"func@0x1806ae0f0","0.0661748","0.00244574","0","0","jvm.dll","func@0x1806ae0f0","[Unknown]","0x1806ae0f0"
"func@0x180005ca0","0.00201035","0","0","0","amplxe_tpssmrte_javaprof_1.0.dll","func@0x180005ca0","[Unknown]","0x180005ca0"
"func@0x180309350","0.00123992","0","0","0","jvm.dll","func@0x180309350","[Unknown]","0x180309350"
"func@0x18022b5a0","0.00123992","0","0","0","jvm.dll","func@0x18022b5a0","[Unknown]","0x18022b5a0"
"java::io::BufferedReader::readLine","0.0597173","0","0","0","[Compiled Java code]","java::io::BufferedReader::readLine()","BufferedReader.java","0x1303d6863c0"
"func@0x1801b7a80","0.00121363","0","0","0","jvm.dll","func@0x1801b7a80","[Unknown]","0x1801b7a80"
"func@0x1800bd430","0","0.000857374","0","0","jvm.dll","func@0x1800bd430","[Unknown]","0x1800bd430"
"func@0x1800bda20","0","0.000857374","0","0","jvm.dll","func@0x1800bda20","[Unknown]","0x1800bda20"
"func@0x180645d80","4.30329e-05","0","0","0","jvm.dll","func@0x180645d80","[Unknown]","0x180645d80"
"func@0x180671760","0.0586971","0","0","0","jvm.dll","func@0x180671760","[Unknown]","0x180671760"
"GetThreadTimes","4.30329e-05","0","0","0","KERNELBASE.dll","GetThreadTimes","[Unknown]","0x18006d0f0"
"func@0x1803042b0","4.30329e-05","0","0","0","jvm.dll","func@0x1803042b0","[Unknown]","0x1803042b0"
"func@0x18066dd20","0","4.13723e-05","0","0","jvm.dll","func@0x18066dd20","[Unknown]","0x18066dd20"
"func@0x18021a840","0","4.13723e-05","0","0","jvm.dll","func@0x18021a840","[Unknown]","0x18021a840"
"func@0x180787810","2.27647e-05","0","0","0","jvm.dll","func@0x180787810","[Unknown]","0x180787810"
"func@0x18063f3f0","0.00316379","0","0","0","jvm.dll","func@0x18063f3f0","[Unknown]","0x18063f3f0"
